,rank,name,coy_share
0,1,Jim Haslett,0.61
1,2,Andy Reid,0.19
2,3,Jim Fassel,0.04
3,4,Jeff Fisher,0.04
4,5,Jon Gruden,0.04
5,6,Brian Billick,0.02
6,7,Steve Mariucci,0.02
7,8,Mike Shanahan,0.02
8,9,Dave Wannstedt,0.02
