,rank,name,coy_share
0,1,Jim Fassel,0.417
1,2,Marty Schottenheimer,0.208
2,3,Tony Dungy,0.167
3,4,Bill Cowher,0.063
4,5,Steve Mariucci,0.063
5,6,Bill Parcells,0.063
6,7,Jimmy Johnson,0.021
