,rank,name,coy_share
0,1,Kevin Stefanski,0.51
1,2,Sean McDermott,0.143
2,3,Brian Flores,0.122
3,4,Ron Rivera,0.082
4,5,Matt LaFleur,0.061
5,6,Sean Payton,0.041
6,7,Andy Reid,0.041
