,rank,name,coy_share
0,1,Jack Pardee,0.357
1,2,Dick Vermeil,0.274
2,3,Don Coryell,0.119
3,4,John McKay,0.083
4,5,Sam Rutigliano,0.071
5,6,Bum Phillips,0.048
