,rank,name,coy_share
0,1,Ron Rivera,0.73
1,2,Andy Reid,0.12
2,3,Bill O'Brien,0.04
3,4,Mike Zimmer,0.04
4,5,Gary Kubiak,0.03
5,6,Bruce Arians,0.02
6,7,Bill Belichick,0.02
