,rank,name,coy_share
0,1,Kevin O'Connell,0.344
1,2,Dan Campbell,0.27
2,3,Andy Reid,0.113
3,4,Dan Quinn,0.081
4,5,Sean Payton,0.068
5,6,Jim Harbaugh,0.056
6,7,Sean McDermott,0.03
7,8,Mike Tomlin,0.015
8,9,Sean McVay,0.009
9,10,Matt LaFleur,0.007
10,11,Todd Bowles,0.003
11,12,Nick Sirianni,0.003
12,13,John Harbaugh,0.002
