,rank,name,coy_share
0,1,Jack Patera,0.298
1,2,Walt Michaels,0.25
2,3,Dick Vermeil,0.155
3,4,Bum Phillips,0.107
4,5,Leeman Bennett,0.095
5,6,Don Coryell,0.047
6,7,Chuck Fairbanks,0.024
7,8,Tom Landry,0.012
8,9,Chuck Noll,0.006
9,10,Don Shula,0.004
10,11,Bart Starr,0.004
