,Team,OU,Wins
0,Buffalo Bills,12.0,13
1,New York Giants,11.0,8
2,San Francisco 49ers,11.0,10
3,Philadelphia Eagles,10.5,10
4,Kansas City Chiefs,10.0,10
5,Los Angeles Raiders,10.0,9
6,Washington Redskins,9.5,14
7,Cincinnati Bengals,9.0,3
8,Houston Oilers,9.0,11
9,Miami Dolphins,9.0,8
10,Minnesota Vikings,9.0,8
11,Pittsburgh Steelers,8.5,7
12,Chicago Bears,8.0,11
13,Los Angeles Rams,8.0,3
14,New Orleans Saints,8.0,11
15,Seattle Seahawks,8.0,7
16,Dallas Cowboys,7.5,11
17,Denver Broncos,7.5,12
18,Green Bay Packers,7.5,4
19,Indianapolis Colts,7.5,1
20,Atlanta Falcons,7.0,10
21,Detroit Lions,7.0,12
22,San Diego Chargers,6.5,4
23,New York Jets,6.0,8
24,Tampa Bay Buccaneers,6.0,3
25,Cleveland Browns,5.5,6
26,Phoenix Cardinals,5.0,4
27,New England Patriots,4.0,6
