,Team,OU,Wins
0,San Francisco 49ers,11.5,14
1,Los Angeles Rams,10.5,5
2,Minnesota Vikings,10.0,6
3,New York Giants,10.0,13
4,Buffalo Bills,9.5,13
5,Cincinnati Bengals,9.5,9
6,Denver Broncos,9.5,5
7,Green Bay Packers,9.5,6
8,Philadelphia Eagles,9.5,10
9,Washington Redskins,9.5,10
10,Cleveland Browns,9.0,3
11,New Orleans Saints,9.0,8
12,Chicago Bears,8.5,11
13,Houston Oilers,8.5,9
14,Kansas City Chiefs,8.5,11
15,Los Angeles Raiders,8.5,12
16,Detroit Lions,8.0,6
17,Phoenix Cardinals,8.0,5
18,Miami Dolphins,7.5,12
19,New England Patriots,7.0,1
20,San Diego Chargers,7.0,6
21,Seattle Seahawks,7.0,9
22,Indianapolis Colts,6.5,7
23,Atlanta Falcons,5.5,5
24,Pittsburgh Steelers,5.5,9
25,Tampa Bay Buccaneers,5.0,6
26,Dallas Cowboys,4.5,7
27,New York Jets,4.5,6
