,Team,OU,Wins
0,New England Patriots,11.5,13
1,Green Bay Packers,11.5,15
2,San Diego Chargers,11.0,8
3,Philadelphia Eagles,10.5,8
4,Pittsburgh Steelers,10.5,12
5,Baltimore Ravens,10.5,12
6,New Orleans Saints,10.0,13
7,Atlanta Falcons,10.0,10
8,New York Jets,10.0,8
9,New York Giants,9.5,9
10,Houston Texans,9.0,10
11,Dallas Cowboys,9.0,8
12,Chicago Bears,8.5,8
13,Detroit Lions,8.0,10
14,Tampa Bay Buccaneers,8.0,4
15,St Louis Rams,7.5,2
16,Kansas City Chiefs,7.5,7
17,San Francisco 49ers,7.5,13
18,Miami Dolphins,7.5,6
19,Arizona Cardinals,7.0,8
20,Minnesota Vikings,7.0,3
21,Cleveland Browns,6.5,4
22,Tennessee Titans,6.5,9
23,Jacksonville Jaguars,6.5,5
24,Oakland Raiders,6.5,8
25,Washington Redskins,6.0,5
26,Denver Broncos,6.0,8
27,Seattle Seahawks,6.0,7
28,Buffalo Bills,5.5,6
29,Cincinnati Bengals,5.5,9
30,Carolina Panthers,4.5,6
31,Indianapolis Colts,,2
