,Team,OU,Wins
0,Dallas Cowboys,11.5,12
1,San Francisco 49ers,11.5,10
2,Houston Oilers,10.0,12
3,Kansas City Chiefs,10.0,11
4,Buffalo Bills,9.5,12
5,Miami Dolphins,9.5,9
6,San Diego Chargers,9.5,8
7,Denver Broncos,9.0,9
8,Green Bay Packers,9.0,9
9,Washington Redskins,9.0,4
10,Detroit Lions,8.5,10
11,Minnesota Vikings,8.5,9
12,New Orleans Saints,8.5,8
13,Philadelphia Eagles,8.5,8
14,Pittsburgh Steelers,8.5,9
15,Atlanta Falcons,8.0,6
16,Cleveland Browns,8.0,7
17,Los Angeles Raiders,8.0,10
18,New York Jets,8.0,8
19,Indianapolis Colts,7.5,4
20,Los Angeles Rams,7.5,5
21,Chicago Bears,7.0,7
22,New York Giants,7.0,11
23,Phoenix Cardinals,6.5,7
24,Tampa Bay Buccaneers,6.0,5
25,Seattle Seahawks,5.5,6
26,New England Patriots,5.0,5
27,Cincinnati Bengals,4.5,3
