,Team,OU,Wins
0,Kansas City Chiefs,11.5,14
1,Baltimore Ravens,11.5,11
2,New Orleans Saints,10.5,12
3,San Francisco 49ers,10.5,6
4,Dallas Cowboys,10.0,6
5,Tampa Bay Buccaneers,9.5,11
6,Indianapolis Colts,9.5,11
7,Pittsburgh Steelers,9.5,12
8,Seattle Seahawks,9.5,12
9,Philadelphia Eagles,9.5,4
10,Buffalo Bills,9.0,13
11,Minnesota Vikings,9.0,7
12,New England Patriots,9.0,7
13,Tennessee Titans,8.5,11
14,Green Bay Packers,8.5,13
15,Cleveland Browns,8.5,11
16,Los Angeles Rams,8.5,10
17,Los Angeles Chargers,8.0,7
18,Chicago Bears,8.0,8
19,Denver Broncos,7.5,5
20,Arizona Cardinals,7.5,8
21,Atlanta Falcons,7.5,4
22,Houston Texans,7.5,4
23,Las Vegas Raiders,7.5,8
24,Detroit Lions,7.0,5
25,New York Giants,6.5,6
26,New York Jets,6.5,2
27,Miami Dolphins,6.0,10
28,Cincinnati Bengals,5.5,4
29,Carolina Panthers,5.5,5
30,Washington Football Team,5.0,7
31,Jacksonville Jaguars,4.5,1
