,Team,OU,Wins
0,Minnesota Vikings,11.5,10
1,Chicago Bears,11.0,6
2,Los Angeles Rams,11.0,11
3,Buffalo Bills,10.5,9
4,New York Giants,10.5,12
5,Philadelphia Eagles,10.5,11
6,San Francisco 49ers,10.5,14
7,Cincinnati Bengals,10.0,8
8,Cleveland Browns,10.0,9
9,Houston Oilers,10.0,9
10,Indianapolis Colts,10.0,8
11,Denver Broncos,9.5,11
12,New Orleans Saints,9.5,9
13,Los Angeles Raiders,9.0,8
14,New England Patriots,9.0,5
15,Seattle Seahawks,9.0,7
16,Washington Redskins,9.0,10
17,Phoenix Cardinals,8.5,5
18,Miami Dolphins,7.5,8
19,Dallas Cowboys,7.0,1
20,Kansas City Chiefs,7.0,8
21,New York Jets,7.0,4
22,Atlanta Falcons,6.5,3
23,Tampa Bay Buccaneers,6.5,5
24,Green Bay Packers,6.0,10
25,Pittsburgh Steelers,6.0,9
26,Detroit Lions,5.5,7
27,San Diego Chargers,5.5,6
