,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1922,28,AKR,NFL,10,3,5,2,0.375,7.4,7.7,-0.3,,,,,10.0,
1,1 yr,1 yr,,,10,3,5,2,0.375,,,,0.0,0.0,0.0,,10.0,
