,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1949,36,BCL,AAFC,8,1,7,0,0.125,-12.3,-6.1,-6.2,,,,,7.0,
1,1 yr,1 yr,,,8,1,7,0,0.125,,,,0.0,0.0,0.0,,7.0,
