,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1969,38,BOS,AFL,14,4,10,0,0.286,-4.0,-2.2,-1.8,,,,,3.0,
1,1970,39,BOS,NFL,7,1,6,0,0.143,-15.9,-9.1,-6.8,,,,,5.0,
2,2 yrs,2 yrs,,,21,5,16,0,0.238,,,,0.0,0.0,0.0,,4.0,
