,rank,name,coy_share
0,1,Ron Rivera,0.43
1,2,Andy Reid,0.27
2,3,Bill Belichick,0.14
3,4,Chip Kelly,0.08
4,5,Bruce Arians,0.04
5,6,Pete Carroll,0.04
