,rank,name,coy_share
0,1,Ted Marchibroda,0.654
1,2,Bum Phillips,0.154
2,3,Don Shula,0.077
3,4,Tom Landry,0.051
4,5,Don Coryell,0.038
5,6,Bud Grant,0.026
