,rank,name,coy_share
0,1,Bill Parcells,0.524
1,2,Marty Schottenheimer,0.226
2,3,Jerry Burns,0.048
3,4,Mike Ditka,0.048
4,5,Raymond Berry,0.036
5,6,Jim Mora,0.024
6,7,Joe Gibbs,0.012
7,8,Bill Walsh,0.012
