,wins_exp
0,11.43
1,11.02
2,10.46
3,9.93
4,9.44
5,9.18
6,9.24
7,9.23
8,9.05
9,8.99
10,9.06
11,9.16
12,9.43
13,9.6
14,9.1
15,8.22
16,7.64
17,7.5
18,7.56
19,7.53
20,7.27
21,6.95
22,6.78
23,6.58
24,6.37
25,6.48
26,6.76
27,6.77
28,6.46
29,5.88
30,5.08
31,4.67
