,Team,OU,Wins
0,New England Patriots,11.5,10
1,Pittsburgh Steelers,10.5,9
2,San Diego Chargers,10.0,13
3,New York Giants,10.0,8
4,Indianapolis Colts,10.0,14
5,Philadelphia Eagles,9.5,11
6,Minnesota Vikings,9.5,12
7,Green Bay Packers,9.0,11
8,Dallas Cowboys,9.0,11
9,New Orleans Saints,9.0,13
10,Tennessee Titans,9.0,8
11,Chicago Bears,8.5,7
12,Baltimore Ravens,8.5,9
13,Arizona Cardinals,8.5,10
14,Atlanta Falcons,8.5,9
15,Carolina Panthers,8.5,8
16,Houston Texans,8.5,9
17,Washington Redskins,8.5,4
18,Jacksonville Jaguars,8.0,7
19,Seattle Seahawks,7.5,5
20,Buffalo Bills,7.5,6
21,San Francisco 49ers,7.0,8
22,Cincinnati Bengals,7.0,10
23,New York Jets,7.0,9
24,Miami Dolphins,7.0,7
25,Cleveland Browns,7.0,5
26,Denver Broncos,6.5,8
27,Tampa Bay Buccaneers,6.5,3
28,Kansas City Chiefs,6.0,4
29,Oakland Raiders,6.0,5
30,St Louis Rams,5.5,1
31,Detroit Lions,4.5,2
