,Team,OU,Wins
0,New England Patriots,12.5,13
1,Pittsburgh Steelers,10.5,13
2,Seattle Seahawks,10.5,9
3,Green Bay Packers,10.5,7
4,Atlanta Falcons,9.5,10
5,Oakland Raiders,9.5,6
6,Dallas Cowboys,9.5,9
7,New York Giants,9.0,3
8,Carolina Panthers,9.0,11
9,Kansas City Chiefs,9.0,10
10,Tennessee Titans,9.0,9
11,Arizona Cardinals,8.5,8
12,Minnesota Vikings,8.5,13
13,Philadelphia Eagles,8.5,13
14,Tampa Bay Buccaneers,8.5,5
15,Houston Texans,8.5,4
16,Cincinnati Bengals,8.5,7
17,Baltimore Ravens,8.5,9
18,Denver Broncos,8.0,5
19,New Orleans Saints,8.0,11
20,Indianapolis Colts,8.0,4
21,Los Angeles Chargers,7.5,9
22,Detroit Lions,7.5,9
23,Washington Redskins,7.5,7
24,Miami Dolphins,7.0,6
25,Jacksonville Jaguars,6.5,10
26,Buffalo Bills,6.5,9
27,Los Angeles Rams,6.0,11
28,Chicago Bears,5.5,5
29,San Francisco 49ers,5.0,6
30,Cleveland Browns,4.5,0
31,New York Jets,3.5,5
