,Team,OU,Wins
0,San Francisco 49ers,12.0,12
1,Dallas Cowboys,10.5,10
2,Green Bay Packers,10.0,13
3,Pittsburgh Steelers,10.0,10
4,Oakland Raiders,9.5,7
5,Kansas City Chiefs,9.0,9
6,Miami Dolphins,9.0,8
7,Philadelphia Eagles,9.0,10
8,Buffalo Bills,8.5,10
9,Chicago Bears,8.5,7
10,Denver Broncos,8.5,13
11,Detroit Lions,8.5,5
12,Indianapolis Colts,8.5,9
13,New England Patriots,8.5,11
14,Atlanta Falcons,8.0,3
15,Minnesota Vikings,8.0,9
16,San Diego Chargers,8.0,8
17,Baltimore Ravens,7.5,4
18,Cincinnati Bengals,7.5,8
19,New Orleans Saints,7.0,3
20,Seattle Seahawks,7.0,7
21,St Louis Rams,7.0,6
22,Houston Oilers,6.5,8
23,New York Giants,6.5,6
24,Tampa Bay Buccaneers,6.5,6
25,Washington Redskins,6.5,9
26,New York Jets,6.0,1
27,Arizona Cardinals,5.5,7
28,Carolina Panthers,5.5,12
29,Jacksonville Jaguars,5.5,9
