,Team,OU,Wins
0,San Francisco 49ers,12.0,13
1,Dallas Cowboys,11.0,12
2,Denver Broncos,10.0,7
3,Buffalo Bills,9.5,7
4,Kansas City Chiefs,9.5,9
5,Arizona Cardinals,9.0,8
6,Green Bay Packers,9.0,9
7,Los Angeles Raiders,9.0,9
8,Miami Dolphins,9.0,10
9,Minnesota Vikings,9.0,10
10,Pittsburgh Steelers,9.0,12
11,Houston Oilers,8.5,2
12,New England Patriots,8.5,10
13,New York Jets,8.5,6
14,Philadelphia Eagles,8.5,7
15,Cleveland Browns,8.0,11
16,Detroit Lions,8.0,9
17,Atlanta Falcons,7.5,7
18,New Orleans Saints,7.5,7
19,San Diego Chargers,7.5,11
20,Chicago Bears,7.0,9
21,New York Giants,7.0,9
22,Seattle Seahawks,7.0,6
23,Tampa Bay Buccaneers,6.5,6
24,Washington Redskins,6.5,3
25,Indianapolis Colts,5.5,8
26,Los Angeles Rams,5.5,4
27,Cincinnati Bengals,5.0,3
