,Team,OU,Wins
0,Buffalo Bills,11.5,11
1,San Francisco 49ers,11.5,14
2,Washington Redskins,11.5,9
3,Houston Oilers,10.5,10
4,Philadelphia Eagles,10.5,11
5,Dallas Cowboys,9.5,13
6,Kansas City Chiefs,9.5,10
7,Los Angeles Raiders,9.5,7
8,New Orleans Saints,9.5,12
9,Atlanta Falcons,9.0,6
10,Chicago Bears,9.0,5
11,Denver Broncos,9.0,8
12,Detroit Lions,9.0,5
13,New York Giants,9.0,6
14,Miami Dolphins,8.5,11
15,New York Jets,8.0,4
16,Cleveland Browns,7.5,7
17,Minnesota Vikings,7.5,11
18,San Diego Chargers,7.0,11
19,Seattle Seahawks,7.0,2
20,Cincinnati Bengals,6.5,5
21,Green Bay Packers,6.5,9
22,Los Angeles Rams,6.5,6
23,Pittsburgh Steelers,6.5,11
24,Tampa Bay Buccaneers,5.5,5
25,New England Patriots,5.0,2
26,Indianapolis Colts,4.5,9
27,Phoenix Cardinals,4.5,4
