,rank,name,coy_share
0,1,Mike Ditka,0.786
1,2,Raymond Berry,0.06
2,3,Tom Landry,0.036
3,4,Tom Flores,0.059
4,5,Joe Gibbs,0.029
5,6,John Robinson,0.015
6,7,Don Shula,0.007
7,8,Joe Walton,0.004
