,rank,name,coy_share
0,1,Bill Belichick,0.6
1,2,Raheem Morris,0.23
2,3,Todd Haley,0.09
3,4,Andy Reid,0.02
4,5,Lovie Smith,0.02
5,6,Mike Smith,0.02
6,7,Steve Spagnuolo,0.02
