,rank,name,coy_share
0,1,Joe Gibbs,0.583
1,2,Tom Flores,0.167
2,3,Tom Landry,0.071
3,4,Don Shula,0.06
4,5,Leeman Bennett,0.024
5,6,Jim Hanifan,0.024
