,rank,name,coy_share
0,1,John Harbaugh,0.55
1,2,Kyle Shanahan,0.29
2,3,Matt LaFleur,0.06
3,4,Sean McDermott,0.04
4,5,Mike Tomlin,0.04
5,6,Sean Payton,0.02
