,rank,name,coy_share
0,1,Kevin Stefanski,0.367
1,2,DeMeco Ryans,0.367
2,3,Dan Campbell,0.073
3,4,John Harbaugh,0.058
4,5,Kyle Shanahan,0.058
5,6,Sean McVay,0.047
6,7,Mike Tomlin,0.011
7,8,Shane Steichen,0.009
8,9,Matt LaFleur,0.004
9,10,Todd Bowles,0.002
10,11,Mike McDaniel,0.002
11,12,Sean McDermott,0.002
