,rank,name,coy_share
0,1,Marvin Lewis,0.41
1,2,Sean Payton,0.23
2,3,Norv Turner,0.18
3,4,Jim Caldwell,0.14
4,5,Andy Reid,0.02
5,6,Ken Whisenhunt,0.02
