,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2022,37,MIN,NFL,17,13,4,0,0.765,-0.1,2.8,-2.9,1.0,0.0,1.0,0.0,1.0,4,2,
1,2023,38,MIN,NFL,17,7,10,0,0.412,-0.6,-1.6,1.0,,,,,3.0,7,4,
2,2024,39,MIN,NFL,17,14,3,0,0.824,6.2,2.8,3.4,,,,,2.0,9,6,
3,3 yrs,3 yrs,,,51,34,17,0,0.667,,,,1.0,0.0,1.0,0.0,2.0,20,12,
