,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes,Num,Won,id
328,2001,46,TAM,NFL,16,9,7,0,0.563,4.0,0.7,3.3,1.0,0.0,1.0,0.0,3.0,0,9.0,4.0,DungTo0
329,2002,47,IND,NFL,16,10,6,0,0.625,1.2,0.4,0.7,1.0,0.0,1.0,0.0,2.0,0,8.0,4.0,DungTo0
330,2003,48,IND,NFL,16,12,4,0,0.75,7.0,8.2,-1.2,3.0,2.0,1.0,0.667,1.0,0,0.0,0.0,DungTo0
331,2004,49,IND,NFL,16,12,4,0,0.75,11.4,11.7,-0.3,2.0,1.0,1.0,0.5,1.0,0,10.0,5.0,DungTo0
332,2005,50,IND,NFL,16,14,2,0,0.875,10.8,5.6,5.2,1.0,0.0,1.0,0.0,1.0,0,6.0,2.0,DungTo0
333,2006,51,IND,NFL,16,12,4,0,0.75,5.9,6.9,-1.1,4.0,4.0,0.0,1.0,1.0,Super Bowl Champions,13.0,4.0,DungTo0
334,2007,52,IND,NFL,16,13,3,0,0.813,12.0,6.6,5.4,1.0,0.0,1.0,0.0,1.0,0,8.0,4.0,DungTo0
335,2008,53,IND,NFL,16,12,4,0,0.75,6.5,2.6,3.9,1.0,0.0,1.0,0.0,2.0,0,5.0,1.0,DungTo0
336,2022,52,CHI,NFL,17,3,14,0,0.176,-6.4,-2.5,-4.0,0.0,0.0,0.0,0.0,4.0,0,2.0,1.0,EberMa0
337,2023,53,CHI,NFL,17,7,10,0,0.412,-2.0,-1.2,-0.9,0.0,0.0,0.0,0.0,3.0,0,3.0,1.0,EberMa0
338,2024,54,CHI,NFL,12,4,8,0,0.333,-2.3,-4.8,2.4,0.0,0.0,0.0,0.0,4.0,fired after week 13,5.0,0.0,EberMa0
339,2001,47,NYJ,NFL,16,10,6,0,0.625,0.8,-2.0,2.8,1.0,0.0,1.0,0.0,3.0,0.0,7.0,3.0,EdwaHe0
340,2002,48,NYJ,NFL,16,9,7,0,0.563,3.2,0.9,2.3,2.0,1.0,1.0,0.5,1.0,0.0,8.0,4.0,EdwaHe0
341,2003,49,NYJ,NFL,16,6,10,0,0.375,-0.6,-1.9,1.3,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,EdwaHe0
342,2004,50,NYJ,NFL,16,10,6,0,0.625,6.6,0.5,6.0,2.0,1.0,1.0,0.5,2.0,0.0,2.0,0.0,EdwaHe0
343,2005,51,NYJ,NFL,16,4,12,0,0.25,-6.4,-5.2,-1.2,0.0,0.0,0.0,0.0,4.0,0.0,6.0,3.0,EdwaHe0
344,2006,52,KAN,NFL,16,9,7,0,0.563,1.0,0.4,0.6,1.0,0.0,1.0,0.0,2.0,0.0,6.0,3.0,EdwaHe0
345,2007,53,KAN,NFL,16,4,12,0,0.25,-5.5,-7.4,1.9,0.0,0.0,0.0,0.0,3.0,0.0,8.0,2.0,EdwaHe0
346,2008,54,KAN,NFL,16,2,14,0,0.125,-9.2,-3.9,-5.3,0.0,0.0,0.0,0.0,4.0,0.0,12.0,5.0,EdwaHe0
347,1978,46,NWE,NFL,1,0,1,0,0.0,5.0,3.6,1.4,0.0,0.0,0.0,0.0,1.0,co-coach with Hank Bullough,0.0,0.0,ErhaRo0
348,1979,47,NWE,NFL,16,9,7,0,0.563,5.1,6.1,-1.1,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,ErhaRo0
349,1980,48,NWE,NFL,16,10,6,0,0.625,6.5,6.8,-0.3,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,ErhaRo0
350,1981,49,NWE,NFL,16,2,14,0,0.125,-3.7,-0.6,-3.1,0.0,0.0,0.0,0.0,5.0,0,0.0,0.0,ErhaRo0
351,1995,48,SEA,NFL,16,8,8,0,0.5,-0.6,1.6,-2.2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,EricDe0
352,1996,49,SEA,NFL,16,7,9,0,0.438,-1.7,1.0,-2.6,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,EricDe0
353,1997,50,SEA,NFL,16,8,8,0,0.5,0.1,1.8,-1.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,EricDe0
354,1998,51,SEA,NFL,16,8,8,0,0.5,1.5,0.9,0.6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,EricDe0
355,2003,56,SFO,NFL,16,7,9,0,0.438,3.1,3.0,0.1,0.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,EricDe0
356,2004,57,SFO,NFL,16,2,14,0,0.125,-13.6,-5.1,-8.6,0.0,0.0,0.0,0.0,4.0,0.0,8.0,3.0,EricDe0
357,1970,63,NYJ,NFL,14,4,10,0,0.286,-4.9,-2.2,-2.7,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,EwbaWe0
358,1971,64,NYJ,NFL,14,6,8,0,0.429,-5.4,-3.7,-1.6,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,EwbaWe0
359,1972,65,NYJ,NFL,14,7,7,0,0.5,0.5,4.7,-4.2,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,EwbaWe0
360,1973,66,NYJ,NFL,14,4,10,0,0.286,-3.4,-1.8,-1.6,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,EwbaWe0
361,1973,40,NWE,NFL,14,5,9,0,0.357,-6.0,-2.6,-3.4,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,FairCh0
362,1974,41,NWE,NFL,14,7,7,0,0.5,4.8,6.6,-1.8,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,FairCh0
363,1975,42,NWE,NFL,14,3,11,0,0.214,-4.3,-2.3,-2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,FairCh0
364,1976,43,NWE,NFL,14,11,3,0,0.786,8.6,6.5,2.2,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,FairCh0
365,1977,44,NWE,NFL,14,9,5,0,0.643,4.0,2.5,1.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,FairCh0
366,1978,45,NWE,NFL,15,11,4,0,0.733,5.0,3.6,1.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,FairCh0
367,2019,61,DEN,NFL,16,7,9,0,0.438,-2.1,-4.8,2.7,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,FangVi0
368,2020,62,DEN,NFL,16,5,11,0,0.313,-6.0,-4.3,-1.7,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,FangVi0
369,2021,63,DEN,NFL,17,7,10,0,0.412,-0.5,-4.7,4.2,0.0,0.0,0.0,0.0,4.0,0.0,8.0,1.0,FangVi0
370,1997,48,NYG,NFL,16,10,5,1,0.656,1.5,-1.8,3.3,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,FassJi0
371,1998,49,NYG,NFL,16,8,8,0,0.5,-3.2,-4.3,1.1,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,FassJi0
372,1999,50,NYG,NFL,16,7,9,0,0.438,-3.0,-1.8,-1.2,0.0,0.0,0.0,0.0,3.0,0,1.0,0.0,FassJi0
373,2000,51,NYG,NFL,16,12,4,0,0.75,2.4,-1.3,3.8,3.0,2.0,1.0,0.667,1.0,NFC Champions,12.0,4.0,FassJi0
374,2001,52,NYG,NFL,16,7,9,0,0.438,-1.8,-1.8,0.0,0.0,0.0,0.0,0.0,3.0,0,7.0,3.0,FassJi0
375,2002,53,NYG,NFL,16,10,6,0,0.625,0.8,-2.2,3.0,1.0,0.0,1.0,0.0,2.0,0,6.0,1.0,FassJi0
376,2003,54,NYG,NFL,16,4,12,0,0.25,-8.6,-4.8,-3.7,0.0,0.0,0.0,0.0,4.0,0,6.0,3.0,FassJi0
377,2016,42,LAR,NFL,3,0,3,0,0.0,-11.1,-9.5,-1.6,0.0,0.0,0.0,0.0,3.0,Promoted to Head Coach after Week 14,0.0,0.0,FassJo0
378,1970,48,NOR,NFL,7,1,5,1,0.167,-7.9,-4.6,-3.3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,FearTo0
379,2009,47,BUF,NFL,7,3,4,0,0.429,-1.8,-4.5,2.7,0.0,0.0,0.0,0.0,4.0,Coach starting Week 11,1.0,1.0,FewePe0
380,2019,57,CAR,NFL,4,0,4,0,0.0,-7.0,-1.9,-5.1,0.0,0.0,0.0,0.0,4.0,Interim coach as of Week 13,2.0,1.0,FewePe0
381,1994,36,HOU,NFL,6,1,5,0,0.167,-7.3,-4.7,-2.6,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,FishJe0
382,1995,37,HOU,NFL,16,7,9,0,0.438,0.8,-0.1,0.9,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,FishJe0
383,1996,38,HOU,NFL,16,8,8,0,0.5,1.0,0.1,0.8,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,FishJe0
384,1997,39,TEN,NFL,16,8,8,0,0.5,1.7,-0.3,1.9,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,FishJe0
385,1998,40,TEN,NFL,16,8,8,0,0.5,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,FishJe0
386,1999,41,TEN,NFL,16,13,3,0,0.813,1.0,2.0,-1.0,4.0,3.0,1.0,0.75,2.0,AFC Champions,5.0,1.0,FishJe0
387,2000,42,TEN,NFL,16,13,3,0,0.813,8.3,1.5,6.8,1.0,0.0,1.0,0.0,1.0,0,3.0,1.0,FishJe0
388,2001,43,TEN,NFL,16,7,9,0,0.438,-2.0,2.4,-4.4,0.0,0.0,0.0,0.0,4.0,0,5.0,4.0,FishJe0
389,2002,44,TEN,NFL,16,11,5,0,0.688,1.8,1.6,0.1,2.0,1.0,1.0,0.5,1.0,0,7.0,1.0,FishJe0
390,2003,45,TEN,NFL,16,12,4,0,0.75,6.5,7.0,-0.5,2.0,1.0,1.0,0.5,2.0,0,5.0,2.0,FishJe0
391,2004,46,TEN,NFL,16,5,11,0,0.313,-4.4,0.3,-4.6,0.0,0.0,0.0,0.0,4.0,0,8.0,3.0,FishJe0
392,2005,47,TEN,NFL,16,4,12,0,0.25,-7.6,-2.0,-5.5,0.0,0.0,0.0,0.0,3.0,0,1.0,0.0,FishJe0
393,2006,48,TEN,NFL,16,8,8,0,0.5,-1.3,1.0,-2.3,0.0,0.0,0.0,0.0,2.0,0,8.0,3.0,FishJe0
394,2007,49,TEN,NFL,16,10,6,0,0.625,0.7,-2.9,3.6,1.0,0.0,1.0,0.0,3.0,0,6.0,4.0,FishJe0
395,2008,50,TEN,NFL,16,13,3,0,0.813,8.9,1.5,7.5,1.0,0.0,1.0,0.0,1.0,0,2.0,0.0,FishJe0
396,2009,51,TEN,NFL,16,8,8,0,0.5,-2.8,0.9,-3.6,0.0,0.0,0.0,0.0,3.0,0,6.0,1.0,FishJe0
397,2010,52,TEN,NFL,16,6,10,0,0.375,1.0,-0.9,1.9,0.0,0.0,0.0,0.0,4.0,0,9.0,3.0,FishJe0
398,2012,54,STL,NFL,16,7,8,1,0.469,0.4,-2.1,2.4,0.0,0.0,0.0,0.0,3.0,0,3.0,1.0,FishJe0
399,2013,55,STL,NFL,16,7,9,0,0.438,2.2,0.4,1.8,0.0,0.0,0.0,0.0,4.0,0,3.0,1.0,FishJe0
400,2014,56,STL,NFL,16,6,10,0,0.375,-0.8,-1.2,0.4,0.0,0.0,0.0,0.0,4.0,0,2.0,1.0,FishJe0
401,2015,57,STL,NFL,16,7,9,0,0.438,-0.2,-3.8,3.6,0.0,0.0,0.0,0.0,3.0,0,7.0,4.0,FishJe0
402,2016,58,LAR,NFL,13,4,9,0,0.308,-11.1,-9.5,-1.6,0.0,0.0,0.0,0.0,3.0,Fired after Week 14,0.0,0.0,FishJe0
403,2019,38,MIA,NFL,16,5,11,0,0.313,-11.6,-2.4,-9.1,0.0,0.0,0.0,0.0,4.0,0.0,6.0,4.0,FlorBr0
404,2020,39,MIA,NFL,16,10,6,0,0.625,3.0,0.3,2.7,0.0,0.0,0.0,0.0,2.0,0.0,7.0,2.0,FlorBr0
405,2021,40,MIA,NFL,17,9,8,0,0.529,-2.7,-3.1,0.3,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,FlorBr0
406,1979,42,OAK,NFL,16,9,7,0,0.563,3.8,3.8,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,FlorTo0
407,1980,43,OAK,NFL,16,11,5,0,0.688,4.2,2.9,1.3,4.0,4.0,0.0,1.0,2.0,Super Bowl Champions,0.0,0.0,FlorTo0
408,1981,44,OAK,NFL,16,7,9,0,0.438,-3.6,-3.6,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,FlorTo0
409,1982,45,RAI,NFL,9,8,1,0,0.889,5.2,6.1,-0.9,2.0,1.0,1.0,0.5,1.0,0,0.0,0.0,FlorTo0
410,1983,46,RAI,NFL,16,12,4,0,0.75,6.8,5.1,1.7,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions,0.0,0.0,FlorTo0
411,1984,47,RAI,NFL,16,11,5,0,0.688,6.9,2.1,4.8,1.0,0.0,1.0,0.0,3.0,0,0.0,0.0,FlorTo0
412,1985,48,RAI,NFL,16,12,4,0,0.75,4.3,0.7,3.7,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,FlorTo0
413,1986,49,RAI,NFL,16,8,8,0,0.5,0.2,0.0,0.2,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,FlorTo0
414,1987,50,RAI,NFL,15,5,10,0,0.333,0.0,-1.6,1.7,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,FlorTo0
415,1992,55,SEA,NFL,16,2,14,0,0.125,-10.0,-9.8,-0.2,0.0,0.0,0.0,0.0,5.0,0,0.0,0.0,FlorTo0
416,1993,56,SEA,NFL,16,6,10,0,0.375,-1.2,-0.8,-0.5,0.0,0.0,0.0,0.0,5.0,0,0.0,0.0,FlorTo0
417,1994,57,SEA,NFL,16,6,10,0,0.375,-3.4,-2.8,-0.6,0.0,0.0,0.0,0.0,5.0,0,0.0,0.0,FlorTo0
418,1988,48,DET,NFL,5,2,3,0,0.4,-4.0,-5.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,FontWa0
419,1989,49,DET,NFL,16,7,9,0,0.438,-3.5,-1.7,-1.8,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,FontWa0
420,1990,50,DET,NFL,16,6,10,0,0.375,-1.6,4.2,-5.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,FontWa0
421,1991,51,DET,NFL,16,12,4,0,0.75,1.0,0.9,0.0,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,FontWa0
422,1992,52,DET,NFL,16,5,11,0,0.313,-1.9,-0.7,-1.1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,FontWa0
423,1993,53,DET,NFL,16,10,6,0,0.625,-0.3,-0.3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,FontWa0
424,1994,54,DET,NFL,16,9,7,0,0.563,2.4,2.8,-0.4,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,FontWa0
425,1995,55,DET,NFL,16,10,6,0,0.625,6.9,5.9,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,FontWa0
426,1996,56,DET,NFL,16,5,11,0,0.313,-2.9,-0.4,-2.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,FontWa0
427,1974,46,DET,NFL,14,7,7,0,0.5,-1.6,0.5,-2.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,ForzRi0
428,1975,47,DET,NFL,14,7,7,0,0.5,-1.9,-3.2,1.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,ForzRi0
429,1976,48,DET,NFL,4,1,3,0,0.25,2.8,-0.6,3.4,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,ForzRi0
430,2002,47,CAR,NFL,16,7,9,0,0.438,-3.3,-6.0,2.8,0.0,0.0,0.0,0.0,4.0,0,9.0,1.0,FoxxJo0
431,2003,48,CAR,NFL,16,11,5,0,0.688,-0.9,-1.5,0.6,4.0,3.0,1.0,0.75,1.0,NFC Champions,13.0,8.0,FoxxJo0
432,2004,49,CAR,NFL,16,7,9,0,0.438,-0.7,-0.8,0.1,0.0,0.0,0.0,0.0,3.0,0,13.0,2.0,FoxxJo0
433,2005,50,CAR,NFL,16,11,5,0,0.688,5.1,3.0,2.1,3.0,2.0,1.0,0.667,2.0,0,7.0,2.0,FoxxJo0
434,2006,51,CAR,NFL,16,8,8,0,0.5,-2.7,-4.2,1.5,0.0,0.0,0.0,0.0,2.0,0,6.0,3.0,FoxxJo0
435,2007,52,CAR,NFL,16,7,9,0,0.438,-5.8,-5.7,-0.1,0.0,0.0,0.0,0.0,2.0,0,10.0,3.0,FoxxJo0
436,2008,53,CAR,NFL,16,12,4,0,0.75,5.6,2.8,2.9,1.0,0.0,1.0,0.0,1.0,0,7.0,1.0,FoxxJo0
437,2009,54,CAR,NFL,16,8,8,0,0.5,3.9,-0.6,4.5,0.0,0.0,0.0,0.0,3.0,0,9.0,6.0,FoxxJo0
438,2010,55,CAR,NFL,16,2,14,0,0.125,-13.2,-9.1,-4.1,0.0,0.0,0.0,0.0,4.0,0,12.0,3.0,FoxxJo0
439,2011,56,DEN,NFL,16,8,8,0,0.5,-5.3,-3.6,-1.7,2.0,1.0,1.0,0.5,1.0,0,9.0,4.0,FoxxJo0
440,2012,57,DEN,NFL,16,13,3,0,0.813,10.1,6.3,3.8,1.0,0.0,1.0,0.0,1.0,0,7.0,6.0,FoxxJo0
441,2013,58,DEN,NFL,16,13,3,0,0.813,11.4,14.1,-2.7,3.0,2.0,1.0,0.667,1.0,AFC Champions,8.0,1.0,FoxxJo0
442,2014,59,DEN,NFL,16,12,4,0,0.75,9.6,9.2,0.4,1.0,0.0,1.0,0.0,1.0,0,6.0,2.0,FoxxJo0
443,2015,60,CHI,NFL,16,6,10,0,0.375,-1.3,-0.1,-1.2,0.0,0.0,0.0,0.0,4.0,0,4.0,1.0,FoxxJo0
444,2016,61,CHI,NFL,16,3,13,0,0.188,-7.5,-5.2,-2.3,0.0,0.0,0.0,0.0,4.0,0,6.0,2.0,FoxxJo0
445,2017,62,CHI,NFL,16,5,11,0,0.313,-1.3,-4.6,3.3,0.0,0.0,0.0,0.0,4.0,0,7.0,3.0,FoxxJo0
446,2010,51,MIN,NFL,6,3,3,0,0.5,-1.6,-3.3,1.7,0.0,0.0,0.0,0.0,4.0,Coach starting Week 12,4.0,1.0,FrazLe0
447,2011,52,MIN,NFL,16,3,13,0,0.188,-5.7,-1.6,-4.1,0.0,0.0,0.0,0.0,4.0,0,7.0,5.0,FrazLe0
448,2012,53,MIN,NFL,16,10,6,0,0.625,3.4,1.6,1.8,1.0,0.0,1.0,0.0,2.0,0,3.0,2.0,FrazLe0
449,2013,54,MIN,NFL,16,5,10,1,0.344,-6.6,0.2,-6.9,0.0,0.0,0.0,0.0,4.0,0,1.0,1.0,FrazLe0
450,1998,46,DAL,NFL,16,10,6,0,0.625,3.5,0.9,2.6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,GailCh0
451,1999,47,DAL,NFL,16,8,8,0,0.5,3.1,-0.3,3.4,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,GailCh0
452,2010,58,BUF,NFL,16,4,12,0,0.25,-4.6,-1.5,-3.1,0.0,0.0,0.0,0.0,4.0,0.0,7.0,4.0,GailCh0
453,2011,59,BUF,NFL,16,6,10,0,0.375,-3.4,1.2,-4.5,0.0,0.0,0.0,0.0,4.0,0.0,5.0,2.0,GailCh0
454,2012,60,BUF,NFL,16,6,10,0,0.375,-6.7,-0.9,-5.8,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,GailCh0
455,2023,40,ARI,NFL,17,4,13,0,0.235,-5.4,-1.8,-3.7,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,GannJo0
456,2024,41,ARI,NFL,17,8,9,0,0.471,2.1,0.8,1.2,0.0,0.0,0.0,0.0,3.0,0.0,4.0,2.0,GannJo0
457,2025,42,ARI,NFL,17,3,14,0,0.176,-4.4,-1.0,-3.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,GannJo0
458,1987,49,KAN,NFL,15,4,11,0,0.267,-8.0,-3.2,-4.8,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,GanzFr0
459,1988,50,KAN,NFL,16,4,11,1,0.281,-5.7,-6.0,0.3,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,GanzFr0
460,2010,44,DAL,NFL,8,5,3,0,0.625,-2.2,2.5,-4.7,0.0,0.0,0.0,0.0,3.0,Coach starting Week 10,4.0,3.0,GarrJa0
461,2011,45,DAL,NFL,16,8,8,0,0.5,1.6,0.7,0.9,0.0,0.0,0.0,0.0,3.0,0,4.0,2.0,GarrJa0
462,2012,46,DAL,NFL,16,8,8,0,0.5,0.3,1.4,-1.2,0.0,0.0,0.0,0.0,3.0,0,5.0,5.0,GarrJa0
463,2013,47,DAL,NFL,16,8,8,0,0.5,-0.7,2.7,-3.4,0.0,0.0,0.0,0.0,2.0,0,1.0,0.0,GarrJa0
464,2014,48,DAL,NFL,16,12,4,0,0.75,5.4,5.3,0.1,2.0,1.0,1.0,0.5,1.0,0,7.0,4.0,GarrJa0
465,2015,49,DAL,NFL,16,4,12,0,0.25,-6.9,-7.0,0.1,0.0,0.0,0.0,0.0,4.0,0,7.0,3.0,GarrJa0
466,2016,50,DAL,NFL,16,13,3,0,0.813,7.0,4.1,2.9,1.0,0.0,1.0,0.0,1.0,0,3.0,1.0,GarrJa0
467,2017,51,DAL,NFL,16,9,7,0,0.563,1.6,0.4,1.2,0.0,0.0,0.0,0.0,2.0,0,5.0,1.0,GarrJa0
468,2018,52,DAL,NFL,16,10,6,0,0.625,1.1,-1.9,2.9,2.0,1.0,1.0,0.5,1.0,0,5.0,2.0,GarrJa0
469,2019,53,DAL,NFL,16,8,8,0,0.5,5.3,3.8,1.5,0.0,0.0,0.0,0.0,2.0,0,4.0,3.0,GarrJa0
470,2016,38,MIA,NFL,16,10,6,0,0.625,-2.4,-0.6,-1.8,1.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,GaseAd0
471,2017,39,MIA,NFL,16,6,10,0,0.375,-6.3,-3.9,-2.4,0.0,0.0,0.0,0.0,3.0,0.0,4.0,2.0,GaseAd0
472,2018,40,MIA,NFL,16,7,9,0,0.438,-8.8,-3.6,-5.2,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,GaseAd0
473,2019,41,NYJ,NFL,16,7,9,0,0.438,-6.3,-5.7,-0.6,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,GaseAd0
474,2020,42,NYJ,NFL,16,2,14,0,0.125,-11.5,-8.7,-2.8,0.0,0.0,0.0,0.0,4.0,0.0,5.0,3.0,GaseAd0
475,1981,41,WAS,NFL,16,8,8,0,0.5,1.0,2.2,-1.2,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,GibbJo0
476,1982,42,WAS,NFL,9,8,1,0,0.889,7.4,2.2,5.2,4.0,4.0,0.0,1.0,1.0,Super Bowl Champions,0.0,0.0,GibbJo0
477,1983,43,WAS,NFL,16,14,2,0,0.875,13.9,11.7,2.2,3.0,2.0,1.0,0.667,1.0,NFC Champions,0.0,0.0,GibbJo0
478,1984,44,WAS,NFL,16,11,5,0,0.688,6.4,5.0,1.3,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,GibbJo0
479,1985,45,WAS,NFL,16,10,6,0,0.625,-1.9,-3.4,1.5,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,GibbJo0
480,1986,46,WAS,NFL,16,12,4,0,0.75,5.5,3.5,2.1,3.0,2.0,1.0,0.667,2.0,0,0.0,0.0,GibbJo0
481,1987,47,WAS,NFL,15,11,4,0,0.733,3.8,1.8,2.0,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions,0.0,0.0,GibbJo0
482,1988,48,WAS,NFL,16,7,9,0,0.438,-2.2,1.2,-3.4,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,GibbJo0
483,1989,49,WAS,NFL,16,10,6,0,0.625,4.0,3.8,0.2,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,GibbJo0
484,1990,50,WAS,NFL,16,10,6,0,0.625,5.4,4.6,0.8,2.0,1.0,1.0,0.5,3.0,0,0.0,0.0,GibbJo0
485,1991,51,WAS,NFL,16,14,2,0,0.875,16.6,11.7,4.9,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions,0.0,0.0,GibbJo0
486,1992,52,WAS,NFL,16,9,7,0,0.563,4.4,0.7,3.8,2.0,1.0,1.0,0.5,3.0,0,0.0,0.0,GibbJo0
487,2004,64,WAS,NFL,16,6,10,0,0.375,-3.4,-7.4,4.0,0.0,0.0,0.0,0.0,4.0,0,7.0,2.0,GibbJo0
488,2005,65,WAS,NFL,16,10,6,0,0.625,6.0,2.6,3.4,2.0,1.0,1.0,0.5,2.0,0,4.0,1.0,GibbJo0
489,2006,66,WAS,NFL,16,5,11,0,0.313,-4.0,-2.1,-2.0,0.0,0.0,0.0,0.0,4.0,0,6.0,2.0,GibbJo0
490,2007,67,WAS,NFL,16,9,7,0,0.563,4.5,0.2,4.3,1.0,0.0,1.0,0.0,3.0,0,5.0,1.0,GibbJo0
491,1972,47,CHI,NFL,14,4,9,1,0.321,-1.3,-2.8,1.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,GibrAb0
492,1973,48,CHI,NFL,14,3,11,0,0.214,-8.8,-4.4,-4.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,GibrAb0
493,1974,49,CHI,NFL,14,4,10,0,0.286,-10.3,-7.4,-2.9,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,GibrAb0
494,1997,46,SDG,NFL,16,4,12,0,0.25,-8.9,-4.1,-4.8,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,GilbKe0
495,1998,47,SDG,NFL,6,2,4,0,0.333,-8.4,-7.7,-0.7,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,GilbKe0
496,1971,60,SDG,NFL,10,4,6,0,0.4,-4.1,2.6,-6.6,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,GillSi0
497,1973,62,HOU,NFL,9,1,8,0,0.111,-16.8,-4.4,-12.4,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,GillSi0
498,1974,63,HOU,NFL,14,7,7,0,0.5,-1.9,-1.3,-0.6,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,GillSi0
499,1985,44,HOU,NFL,2,0,2,0,0.0,-8.9,-4.9,-4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,GlanJe0
500,1986,45,HOU,NFL,16,5,11,0,0.313,-3.9,-4.4,0.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,GlanJe0
501,1987,46,HOU,NFL,15,9,6,0,0.6,1.9,3.2,-1.2,2.0,1.0,1.0,0.5,2.0,0.0,0.0,0.0,GlanJe0
502,1988,47,HOU,NFL,16,10,6,0,0.625,3.0,5.3,-2.3,2.0,1.0,1.0,0.5,3.0,0.0,0.0,0.0,GlanJe0
503,1989,48,HOU,NFL,16,9,7,0,0.563,-2.5,2.8,-5.3,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,GlanJe0
