,coy_rank,name,coy_share,year,id
125,2,Dan Reeves,0.25,1989,ReevDa0
126,3,George Seifert,0.229,1989,SeifGe0
127,4,Bill Parcells,0.071,1989,ParcBi0
128,5,Art Shell,0.057,1989,ShelAr0
129,6,Marty Schottenheimer,0.05,1989,SchoMa0
130,7,Chuck Noll,0.014,1989,NollCh0
131,1,Jimmy Johnson,0.231,1990,JohnJi0
132,2,Art Shell,0.2,1990,ShelAr0
133,3,Don Shula,0.119,1990,ShulDo0
134,4,Marv Levy,0.113,1990,LevyMa0
135,5,Mike Ditka,0.1,1990,DitkMi0
136,6,George Seifert,0.1,1990,SeifGe0
137,7,Marty Schottenheimer,0.063,1990,SchoMa0
138,8,Chuck Knox,0.05,1990,KnoxCh0
139,9,Chuck Noll,0.025,1990,NollCh0
140,1,Wayne Fontes,0.317,1991,FontWa0
141,2,Joe Gibbs,0.299,1991,GibbJo0
142,3,Jimmy Johnson,0.098,1991,JohnJi0
143,4,Rich Kotite,0.061,1991,KotiRi0
144,5,Dick MacPherson,0.061,1991,McPhDi0
145,6,Jerry Glanville,0.049,1991,GlanJe0
146,7,Marv Levy,0.037,1991,LevyMa0
147,8,Dan Reeves,0.037,1991,ReevDa0
148,9,Mike Ditka,0.024,1991,DitkMi0
149,10,Bill Belichick,0.018,1991,BeliBi0
150,1,Bill Cowher,0.291,1992,CowhBi0
151,2,Bobby Ross,0.253,1992,RossBo0
152,3,Mike Holmgren,0.12,1992,HolmMi0
153,4,Dennis Green,0.101,1992,GreeDe0
154,5,George Seifert,0.089,1992,SeifGe0
155,6,Ted Marchibroda,0.076,1992,MarcTe0
156,7,Jimmy Johnson,0.063,1992,JohnJi0
157,8,Jim Mora,0.006,1992,MoraJi0
158,8,Jim Mora,0.006,1992,MoraJi1
159,1,Dan Reeves,0.84,1993,ReevDa0
160,2,Jack Pardee,0.074,1993,PardJa0
161,3,Jimmy Johnson,0.025,1993,JohnJi0
162,4,Don Shula,0.025,1993,ShulDo0
163,5,Dave Wannstedt,0.025,1993,WannDa0
164,6,Bill Parcells,0.012,1993,ParcBi0
165,1,Bill Parcells,0.296,1994,ParcBi0
166,2,Bill Cowher,0.255,1994,CowhBi0
167,3,Dave Wannstedt,0.224,1994,WannDa0
168,4,George Seifert,0.143,1994,SeifGe0
169,5,Bill Belichick,0.041,1994,BeliBi0
170,6,Barry Switzer,0.031,1994,SwitBa0
