,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1949,51,WAS,NFL,7,3,3,1,0.5,-5.5,0.5,-6.1,,,,,4.0,
1,1 yr,1 yr,,,7,3,3,1,0.5,,,,0.0,0.0,0.0,,4.0,
