,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1964,44,DEN,AFL,10,2,7,1,0.222,-12.4,-5.1,-7.3,,,,,4.0,
1,1965,45,DEN,AFL,14,4,10,0,0.286,-5.6,1.1,-6.7,,,,,4.0,
2,1966,46,DEN,AFL,2,0,2,0,0.0,-12.1,-8.3,-3.7,,,,,4.0,
3,3 yrs,3 yrs,,,26,6,19,1,0.24,,,,0.0,0.0,0.0,,4.0,
