,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1971,47,GNB,NFL,14,4,8,2,0.333,-1.0,1.4,-2.3,,,,,4.0,
1,1972,48,GNB,NFL,14,10,4,0,0.714,7.0,2.3,4.7,1.0,0.0,1.0,0.0,1.0,
2,1973,49,GNB,NFL,14,5,7,2,0.429,-4.9,-5.1,0.2,,,,,3.0,
3,1974,50,GNB,NFL,14,6,8,0,0.429,-1.3,-3.2,2.0,,,,,3.0,
4,4 yrs,4 yrs,,,56,25,27,4,0.481,,,,1.0,0.0,1.0,0.0,2.8,
