,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1934,31,PIT,NFL,12,2,10,0,0.167,-14.4,-7.7,-6.7,,,,,5.0,
1,1 yr,1 yr,,,12,2,10,0,0.167,,,,0.0,0.0,0.0,,5.0,
