,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2010,42,SFO,NFL,1,1,0,0,1.0,-5.8,-4.7,-1.1,,,,,3.0,1,0,Coach starting Week 17
1,2015,47,SFO,NFL,16,5,11,0,0.313,-5.5,-6.0,0.5,,,,,4.0,8,2,
2,2 yrs,2 yrs,,,17,6,11,0,0.353,,,,0.0,0.0,0.0,,3.5,9,2,
