,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2009,43,DET,NFL,16,2,14,0,0.125,-14.4,-5.2,-9.2,,,,,4.0,6,2,
1,2010,44,DET,NFL,16,6,10,0,0.375,1.9,2.4,-0.5,,,,,3.0,5,2,
2,2011,45,DET,NFL,16,10,6,0,0.625,6.1,6.9,-0.8,1.0,0.0,1.0,0.0,2.0,8,6,
3,2012,46,DET,NFL,16,4,12,0,0.25,-2.3,2.1,-4.4,,,,,4.0,3,1,
4,2013,47,DET,NFL,16,7,9,0,0.438,-1.6,-1.2,-0.5,,,,,3.0,5,4,
5,5 yrs,5 yrs,,,80,29,51,0,0.363,,,,1.0,0.0,1.0,0.0,3.2,27,15,
