,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2019,40,ARI,NFL,16,5,10,1,0.344,-3.2,-0.3,-2.9,,,,,4.0,6,3,
1,2020,41,ARI,NFL,16,8,8,0,0.5,2.6,1.5,1.0,,,,,3.0,1,0,
2,2021,42,ARI,NFL,17,11,6,0,0.647,5.2,3.6,1.6,1.0,0.0,1.0,0.0,2.0,2,0,
3,2022,43,ARI,NFL,17,4,13,0,0.235,-6.2,-1.9,-4.3,,,,,4.0,1,0,
4,4 yrs,4 yrs,,,66,28,37,1,0.432,,,,1.0,0.0,1.0,0.0,3.3,10,3,
