,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2000,49,STL,NFL,16,10,6,0,0.625,3.1,12.6,-9.5,1.0,0.0,1.0,0.0,2.0,8,4,
1,2001,50,STL,NFL,16,14,2,0,0.875,13.4,10.4,2.9,3.0,2.0,1.0,0.667,1.0,12,4,NFC Champions
2,2002,51,STL,NFL,16,7,9,0,0.438,-3.3,-1.6,-1.8,,,,,2.0,7,3,
3,2003,52,STL,NFL,16,12,4,0,0.75,5.9,6.0,-0.2,1.0,0.0,1.0,0.0,1.0,10,4,
4,2004,53,STL,NFL,16,8,8,0,0.5,-6.0,-2.2,-3.8,2.0,1.0,1.0,0.5,2.0,6,1,
5,2005,54,STL,NFL,5,2,3,0,0.4,-5.1,1.3,-6.4,,,,,2.0,5,1,Fired after week 5
6,6 yrs,6 yrs,,,85,53,32,0,0.624,,,,7.0,3.0,4.0,0.429,1.7,48,17,
