,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1946,46,BDA,AAFC,7,1,4,1,0.2,-7.1,-3.0,-4.1,,,,,2.0,
1,1 yr,1 yr,,,7,1,4,1,0.2,,,,0.0,0.0,0.0,,2.0,
