,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2021,39,ATL,NFL,17,7,10,0,0.412,-8.5,-4.2,-4.3,,,,,3.0,2,0,
1,2022,40,ATL,NFL,17,7,10,0,0.412,-2.1,-0.1,-2.0,,,,,4.0,4,2,
2,2023,41,ATL,NFL,17,7,10,0,0.412,-5.0,-3.6,-1.4,,,,,3.0,8,4,
3,3 yrs,3 yrs,,,51,21,30,0,0.412,,,,,,,,3.3,14,6,
