,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1973,40,SDG,NFL,6,1,5,0,0.167,-12.0,-3.6,-8.4,,,,,4.0,
1,1 yr,1 yr,,,6,1,5,0,0.167,,,,0.0,0.0,0.0,,4.0,
