,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1971,36,PHI,NFL,11,6,4,1,0.6,-4.3,-2.7,-1.6,,,,,3.0,
1,1972,37,PHI,NFL,14,2,11,1,0.179,-14.6,-9.2,-5.3,,,,,5.0,
2,2 yrs,2 yrs,,,25,8,15,2,0.354,,,,0.0,0.0,0.0,,4.0,
