,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1991,47,NYG,NFL,16,8,8,0,0.5,1.0,-0.6,1.5,,,,,4.0,
1,1992,48,NYG,NFL,16,6,10,0,0.375,-1.8,1.6,-3.4,,,,,4.0,
2,2 yrs,2 yrs,,,32,14,18,0,0.438,,,,0.0,0.0,0.0,,4.0,
