,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1934,30,CIN,NFL,8,0,8,0,0.0,-24.6,-6.8,-17.8,,,,,6.0,
1,1 yr,1 yr,,,8,0,8,0,0.0,,,,0.0,0.0,0.0,,6.0,
