,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1925,28,CRD,NFL,14,11,2,1,0.846,1.7,1.3,0.4,,,,,1.0,NFL Champions
1,1926,29,CRD,NFL,12,5,6,1,0.455,1.0,-0.4,1.4,,,,,10.0,
2,2 yrs,2 yrs,,,26,16,8,2,0.667,,,,0.0,0.0,0.0,,5.5,
