,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1978,46,CLE,NFL,16,8,8,0,0.5,-2.0,2.5,-4.5,,,,,3.0,
1,1979,47,CLE,NFL,16,9,7,0,0.563,3.0,2.9,0.1,,,,,3.0,
2,1980,48,CLE,NFL,16,11,5,0,0.688,1.8,1.7,0.1,1.0,0.0,1.0,0.0,1.0,
3,1981,49,CLE,NFL,16,5,11,0,0.313,-6.5,-4.1,-2.4,,,,,4.0,
4,1982,50,CLE,NFL,9,4,5,0,0.444,-3.5,-5.0,1.5,1.0,0.0,1.0,0.0,3.0,
5,1983,51,CLE,NFL,16,9,7,0,0.563,-2.2,-0.9,-1.3,,,,,2.0,
6,1984,52,CLE,NFL,8,1,7,0,0.125,-3.8,-6.1,2.3,,,,,3.0,
7,7 yrs,7 yrs,,,97,47,50,0,0.485,,,,2.0,0.0,2.0,0.0,2.7,
