,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1989,43,RAI,NFL,12,7,5,0,0.583,1.8,0.0,1.9,,,,,3.0,,,
1,1990,44,RAI,NFL,16,12,4,0,0.75,6.6,2.2,4.4,2.0,1.0,1.0,0.5,1.0,,,
2,1991,45,RAI,NFL,16,9,7,0,0.563,1.4,0.3,1.1,1.0,0.0,1.0,0.0,3.0,,,
3,1992,46,RAI,NFL,16,7,9,0,0.438,-1.6,-3.2,1.5,,,,,4.0,,,
4,1993,47,RAI,NFL,16,10,6,0,0.625,-0.7,1.1,-1.7,2.0,1.0,1.0,0.5,2.0,,,
5,1994,48,RAI,NFL,16,9,7,0,0.563,-1.6,-1.9,0.3,,,,,3.0,,,
6,2006,60,OAK,NFL,16,2,14,0,0.125,-9.6,-10.3,0.7,,,,,4.0,8.0,1.0,
7,7 yrs,7 yrs,,,108,56,52,0,0.519,,,,5.0,2.0,3.0,0.4,2.9,8.0,1.0,
