,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1947,49,BOS,NFL,12,4,7,1,0.364,-8.9,-9.9,0.9,,,,,3.0,
1,1948,50,BOS,NFL,12,3,9,0,0.25,-15.6,-8.2,-7.4,,,,,5.0,
2,2 yrs,2 yrs,,,24,7,16,1,0.304,,,,0.0,0.0,0.0,,4.0,
