,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1929,24,MIN,NFL,10,1,9,0,0.1,-11.3,-2.8,-8.5,,,,,11.0,
1,1 yr,1 yr,,,10,1,9,0,0.1,,,,0.0,0.0,0.0,,11.0,
