,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1947,43,LAD,AAFC,3,2,1,0,0.667,4.5,1.9,2.6,,,,,3.0,co-coach with Mel Hein
1,1 yr,1 yr,,,3,2,1,0,0.667,,,,0.0,0.0,0.0,,3.0,
