,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2011,39,JAX,NFL,5,2,3,0,0.4,-5.6,-7.1,1.4,,,,,3.0,0,0,
1,1 yr,1 yr,,,5,2,3,0,0.4,,,,0.0,0.0,0.0,,3.0,0,0,
