,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2022,39,MIA,NFL,17,9,8,0,0.529,1.8,2.7,-0.9,1,0,1,0.0,2.0,6,1,
1,2023,40,MIA,NFL,17,11,6,0,0.647,4.4,7.6,-3.1,1,0,1,0.0,2.0,7,2,
2,2 yrs,2 yrs,,,34,20,14,0,0.588,,,,2,0,2,0.0,2.0,13,3,
