,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1951,37,WAS,NFL,9,5,4,0,0.556,-7.8,-5.1,-2.7,,,,,3.0,
1,1 yr,1 yr,,,9,5,4,0,0.556,,,,0.0,0.0,0.0,,3.0,
