,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1929,26,SIS,NFL,10,3,4,3,0.429,0.4,-1.9,2.3,,,,,6.0,
1,1930,27,SIS,NFL,12,5,5,2,0.5,-2.8,-3.9,1.1,,,,,6.0,
2,2 yrs,2 yrs,,,22,8,9,5,0.471,,,,0.0,0.0,0.0,,6.0,
