,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1996,53,ARI,NFL,16,7,9,0,0.438,-7.5,-1.7,-5.8,,,,,4.0,,,
1,1997,54,ARI,NFL,16,4,12,0,0.25,-6.4,-2.6,-3.8,,,,,5.0,,,
2,1998,55,ARI,NFL,16,9,7,0,0.563,-7.4,-1.6,-5.8,2.0,1.0,1.0,0.5,2.0,,,
3,1999,56,ARI,NFL,16,6,10,0,0.375,-8.8,-5.5,-3.2,,,,,4.0,3.0,1.0,
4,2000,57,ARI,NFL,7,2,5,0,0.286,-15.2,-7.2,-8.1,,,,,5.0,6.0,3.0,Fired after week 8
5,5 yrs,5 yrs,,,71,28,43,0,0.394,,,,2.0,1.0,1.0,0.5,4.0,9.0,4.0,
