,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1923,27,AKR,NFL,5,0,5,0,0.0,2.7,1.4,1.3,,,,,16.0,
1,1 yr,1 yr,,,5,0,5,0,0.0,,,,0.0,0.0,0.0,,16.0,
