,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1975,41,KAN,NFL,14,5,9,0,0.357,-4.2,-0.6,-3.7,,,,,3.0,
1,1976,42,KAN,NFL,14,5,9,0,0.357,-4.7,2.2,-6.9,,,,,4.0,
2,1977,43,KAN,NFL,7,1,6,0,0.143,-4.9,0.9,-5.8,,,,,5.0,
3,3 yrs,3 yrs,,,35,11,24,0,0.314,,,,0.0,0.0,0.0,,4.0,
