,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2022,47,NYG,NFL,17,9,7,1,0.559,-0.4,-0.8,0.4,2.0,1.0,1.0,0.5,3.0,3,3,
1,2023,48,NYG,NFL,17,6,11,0,0.353,-7.9,-6.9,-1.0,,,,,3.0,7,4,
2,2 yrs,2 yrs,,,34,15,18,1,0.456,,,,2.0,1.0,1.0,0.5,3.0,10,7,
