,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2001,43,BUF,NFL,16,3,13,0,0.188,-9.5,-3.9,-5.7,,,,,5.0,11,3,
1,2002,44,BUF,NFL,16,8,8,0,0.5,-0.3,2.1,-2.3,,,,,4.0,6,3,
2,2003,45,BUF,NFL,16,6,10,0,0.375,-1.0,-5.0,4.0,,,,,3.0,7,1,
3,2018,60,CLE,NFL,8,5,3,0,0.625,-0.3,-1.0,0.6,,,,,3.0,1,1,
4,4 yrs,4 yrs,,,56,22,34,0,0.393,,,,0.0,0.0,0.0,,3.8,25,8,
5,3 yrs,3 yrs,BUF,,48,17,31,0,0.354,,,,0.0,0.0,0.0,,4.0,24,7,
6,1 yr,1 yr,CLE,,8,5,3,0,0.625,,,,,,,,3.0,1,1,
