,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1921,30,NYG,APFA,2,0,2,0,0.0,-30.3,-5.1,-25.2,,,,,18.0,
1,1 yr,1 yr,,,2,0,2,0,0.0,,,,0.0,0.0,0.0,,18.0,
